market,Total_Startups,Closed,Avg_Funding_USD,Avg_Rounds,Failure_Rate_%
Renewable Energies,22,0.0,69257701.14285715,1.4090909090909092,0.0
SMS,21,2.0,8259358.2,1.9523809523809523,9.52
Home & Garden,21,1.0,18789008.05882353,2.0476190476190474,4.76
Language Learning,21,1.0,5226764.705882353,1.8095238095238095,4.76
Tourism,21,1.0,953606.3157894737,1.4761904761904763,4.76
Collaborative Consumption,21,0.0,1552221.2631578948,1.7619047619047619,0.0
Development Platforms,21,0.0,125855534.0,1.7619047619047619,0.0
Energy Efficiency,21,0.0,19615895.277777776,2.0476190476190474,0.0
Mobile Security,21,0.0,27677698.94736842,2.5238095238095237,0.0
Utilities,21,0.0,34452272.375,1.2857142857142858,0.0
Audio,20,3.0,11404429.411764706,1.8,15.0
Mobile Software Tools,20,2.0,11330583.1,1.85,10.0
Film,20,1.0,4568180.357142857,1.5,5.0
Freelancers,20,1.0,1660758.6470588236,1.3,5.0
Robotics,20,1.0,9719017.294117646,2.15,5.0
Aerospace,20,0.0,14539923.333333334,1.7,0.0
Application Platforms,20,0.0,4498759.923076923,1.3,0.0
Computers,20,0.0,12725748.294117646,1.95,0.0
Graphics,20,0.0,3500674.214285714,1.4,0.0
Retail Technology,20,0.0,19174460.714285713,2.05,0.0
Travel & Tourism,20,0.0,4565976.230769231,1.75,0.0
Virtual Worlds,19,5.0,7304175.533333333,1.368421052631579,26.32
Wine And Spirits,19,1.0,1074749.8181818181,1.2105263157894737,5.26
Developer Tools,19,0.0,3892653.882352941,1.9473684210526316,0.0
Gamification,19,0.0,1313895.111111111,1.7894736842105263,0.0
K-12 Education,19,0.0,4252787.928571428,1.5789473684210527,0.0
Project Management,19,0.0,1496140.25,1.3157894736842106,0.0
Weddings,19,0.0,2179666.6666666665,1.4210526315789473,0.0
Email Marketing,18,3.0,25151558.666666668,1.8888888888888888,16.67
Online Scheduling,18,2.0,11562294.272727273,1.8888888888888888,11.11
Discounts,18,1.0,6818529.0,1.6111111111111112,5.56
Outsourcing,18,1.0,5345098.266666667,1.5555555555555556,5.56
Politics,18,1.0,58582815.55555555,1.6111111111111112,5.56
Subscription Businesses,18,1.0,4307882.882352941,1.9444444444444444,5.56
Accounting,18,0.0,19465976.125,2.0555555555555554,0.0
Communications Infrastructure,18,0.0,8567256.857142856,1.8888888888888888,0.0
Diagnostics,18,0.0,25152892.2,2.3333333333333335,0.0
Entrepreneur,18,0.0,5249217.866666666,1.3333333333333333,0.0
Insurance,18,0.0,16089157.307692308,1.4444444444444444,0.0
Oil & Gas,18,0.0,64917533.14285714,1.5555555555555556,0.0
Risk Management,18,0.0,26981204.625,1.7222222222222223,0.0
Specialty Foods,18,0.0,2119783.6363636362,1.2777777777777777,0.0
Parenting,17,3.0,1100251.5,1.2352941176470589,17.65
Incentives,17,2.0,6150351.857142857,1.8823529411764706,11.76
All Students,17,1.0,4982134.923076923,1.5294117647058822,5.88
Local Search,17,1.0,5682156.916666667,1.6470588235294117,5.88
Personal Health,17,1.0,3281112.3846153845,1.4705882352941178,5.88
Privacy,17,1.0,13026903.666666666,1.8235294117647058,5.88
Semantic Search,17,1.0,13895582.6,2.235294117647059,5.88
Cloud Infrastructure,17,0.0,23320182.666666668,3.411764705882353,0.0
Communications Hardware,17,0.0,86242763.125,3.0,0.0
Construction,17,0.0,75742754.73333333,2.3529411764705883,0.0
Mobility,17,0.0,3999563.769230769,1.588235294117647,0.0
